,year,date,time,day,venue,referee,team,opponent,formation,result,poss,gf,ga,gls,sh,sot,sot%,g/sh,g/sot,pk,pkatt,g-xg,xg,xga,np:g-xg,npxg,npxg/sh
186,2023,2023-06-04,16:00,Sun,Home,Rodrigo José Pereira de Lima,Fluminense,Bragantino,4-2-3-1,W,51.0,2.0,2.0,2.0,12.0,4.0,33.3,0.17,0.5,0.0,0.0,0.9,1.1,0.6,0.9,1.1,0.09
187,2023,2023-06-07,21:30,Wed,Away,Wilmar Roldán,Fluminense,ar River Plate,4-2-3-1,L,54.0,0.0,0.0,0.0,7.0,2.0,28.6,0.0,0.0,0.0,0.0,-0.7,0.7,2.2,-0.7,0.7,0.1
188,2023,2023-06-11,18:30,Sun,Away,Leandro Pedro Vuaden,Fluminense,Goiás,4-2-2-2,D,59.0,2.0,2.0,2.0,13.0,4.0,30.8,0.15,0.5,0.0,0.0,0.7,1.3,2.1,0.7,1.3,0.1
189,2023,2023-06-21,21:30,Wed,Home,Ramon Abatti Abel,Fluminense,Atlético Mineiro,4-2-3-1,D,49.0,1.0,1.0,1.0,9.0,4.0,44.4,0.11,0.25,0.0,0.0,0.6,0.4,1.4,0.6,0.4,0.05
190,2023,2023-06-24,18:30,Sat,Home,Savio Pereira,Fluminense,Bahia,4-2-3-1,W,49.0,2.0,2.0,2.0,17.0,9.0,52.9,0.12,0.22,0.0,0.0,-1.0,3.0,1.0,-1.0,3.0,0.19
191,2023,2023-06-27,21:00,Tue,Home,Piero Maza,Fluminense,pe Sporting Cristal,4-2-3-1,D,61.0,1.0,1.0,1.0,14.0,6.0,42.9,0.07,0.17,0.0,0.0,0.4,0.6,0.6,0.4,0.6,0.05
192,2023,2023-07-01,16:00,Sat,Away,Anderson Daronco,Fluminense,São Paulo,4-2-3-1,L,46.0,0.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,-0.2,0.2,1.1,-0.2,0.2,0.05
193,2023,2023-07-09,16:00,Sun,Home,Luiz Flávio de Oliveira,Fluminense,Internacional,4-4-2,W,55.0,2.0,2.0,2.0,14.0,8.0,57.1,0.14,0.25,0.0,0.0,0.9,1.1,0.4,0.9,1.1,0.08
194,2023,2023-07-16,16:00,Sun,Home,Savio Pereira,Fluminense,Flamengo,4-2-3-1,D,54.0,0.0,0.0,0.0,16.0,8.0,50.0,0.0,0.0,0.0,0.0,-1.5,1.5,0.5,-1.5,1.5,0.09
195,2023,2023-07-24,19:00,Mon,Away,Anderson Daronco,Fluminense,Coritiba,4-2-3-1,W,50.31769455659195,1.2265389876880985,1.2265389876880985,31.0,287.0,114.0,39.7,0.11,0.27,0.0,1.0,-0.2,,,0.6,30.4,0.11
196,2023,2023-07-29,16:00,Sat,Home,Anderson Daronco,Fluminense,Santos,4-2-3-1,W,50.31769455659195,1.2265389876880985,1.2265389876880985,2.3704343206269094,25.38415275898361,8.298752067358292,33.13955042527339,0.08989975698663429,0.2616648497118829,0.22991101075840084,0.3032275202550139,,,,,,
197,2023,2023-08-01,19:00,Tue,Away,Anderson Daronco,Fluminense,ar Argentinos Jun,4-2-3-1,W,50.31769455659195,1.2265389876880985,1.2265389876880985,2.3704343206269094,25.38415275898361,8.298752067358292,33.13955042527339,0.08989975698663429,0.2616648497118829,0.22991101075840084,0.3032275202550139,,,,,,
198,2023,2023-08-05,21:00,Sat,Home,Anderson Daronco,Fluminense,Palmeiras,4-2-3-1,W,50.31769455659195,1.2265389876880985,1.2265389876880985,2.3704343206269094,25.38415275898361,8.298752067358292,33.13955042527339,0.08989975698663429,0.2616648497118829,0.22991101075840084,0.3032275202550139,,,,,,
199,2023,2023-08-08,19:00,Tue,Home,Anderson Daronco,Fluminense,ar Argentinos Jun,4-2-3-1,W,50.31769455659195,1.2265389876880985,1.2265389876880985,2.3704343206269094,25.38415275898361,8.298752067358292,33.13955042527339,0.08989975698663429,0.2616648497118829,0.22991101075840084,0.3032275202550139,,,,,,
200,2023,2023-08-13,16:00,Sun,Away,Anderson Daronco,Fluminense,Grêmio,4-2-3-1,W,50.31769455659195,1.2265389876880985,1.2265389876880985,2.3704343206269094,25.38415275898361,8.298752067358292,33.13955042527339,0.08989975698663429,0.2616648497118829,0.22991101075840084,0.3032275202550139,,,,,,
