game_id,game,date,time,round,phase,season_code,score_a,score_b,team_a,team_b,team_id_a,team_id_b,coach_a,coach_b,game_time,remaining_partial_time,referee_1,referee_2,referee_3,stadium,capacity,w_id,fouls_a,fouls_b,timeouts_a,timeouts_b,score_quarter_1_a,score_quarter_2_a,score_quarter_3_a,score_quarter_4_a,score_quarter_1_b,score_quarter_2_b,score_quarter_3_b,score_quarter_4_b,score_extra_time_1_a,score_extra_time_2_a,score_extra_time_3_a,score_extra_time_4_a,score_extra_time_1_b,score_extra_time_2_b,score_extra_time_3_b,score_extra_time_4_b
U2015_304,TRN-STR,2016-04-06,19:30:00,22,SEMI-FINAL,U2015,78,86,DOLOMITI ENERGIA TRENTO,STRASBOURG,TRN,STR,"BUSCAGLIA, MAURIZIO","COLLET, VINCENT",40:00,00:00,"GKONTAS, SPIROS","KOWALSKI, MARCIN","OVINOV, SEMEN",PALATRENTO,4000,80,17,22,5,5,19,35,51,78,21,36,62,86,,,,,,,,
U2015_305,STR-GAL,2016-04-22,21:00:00,23,FINAL,U2015,66,62,STRASBOURG,GALATASARAY ODEABANK ISTANBUL,STR,GAL,COLLET VINCENT,ATAMAN ERGIN,40:00,00:00,"ROCHA, FERNANDO","PUKL,SASA","PEREZ PIZARRO, EMILIO",RHENUS SPORT,6166,80,21,20,4,2,7,23,43,66,8,24,45,62,,,,,,,,
U2015_306,GAL-STR,2016-04-27,19:00:00,24,FINAL,U2015,78,67,GALATASARAY ODEABANK ISTANBUL,STRASBOURG,GAL,STR,"ATAMAN, ERGIN","COLLET, VINCENT",40:00,00:00,"CHRISTODOULOU, CHRISTOS","PATERNICO, CARMELO","PASTUSIAK, PIOTR",ABDI IPEKCI ARENA,11400,80,17,19,1,5,27,43,61,78,16,35,54,67,,,,,,,,
U2016_002,CAN-CED,2016-10-12,21:00:00,1,REGULAR SEASON,U2016,101,76,HERBALIFE GRAN CANARIA LAS PALMAS,CEDEVITA ZAGREB,CAN,CED,"PALOMO, L.","MRSIC, V.",40:00,00:00,"RYZHYK, BORYS","CHRISTODOULOU, CHRISTOS","SILVA, SERGIO",GRAN CANARIA ARENA,4431,80,19,17,3,5,22,54,77,101,16,34,61,76,,,,,,,,
U2016_003,LKB-SKO,2016-10-12,18:00:00,1,REGULAR SEASON,U2016,90,89,LIETKABELIS PANEVEZYS,MZT SKOPJE AERODROM,LKB,SKO,KAZYS MAKSVYTIS,ALEKSANDAR JONCHEVSKI,40:00,00:00,"PEREZ PIZARRO, EMILIO","HALLIKO, AARE","PANTHER, ANNE",CIDO ARENA,3600,80,28,20,4,3,27,50,74,90,22,35,58,89,,,,,,,,
U2016_004,BER-FUE,2016-10-12,20:00:00,1,REGULAR SEASON,U2016,88,81,ALBA BERLIN,MONTAKIT FUENLABRADA,BER,FUE,AHMET ARIF CAKI,JOSE RAMON CUSPINERA DIEGUEZ,40:00,00:00,"JOVCIC, MILIVOJE","FOUFIS, IOANNIS","DRAGOJEVIC, IGOR",MERCEDES-BENZ ARENA,6223,80,23,22,5,4,29,45,67,88,28,45,62,81,,,,,,,,
U2016_005,KHI-LIE,2016-10-12,18:30:00,1,REGULAR SEASON,U2016,76,71,KHIMKI MOSCOW REGION,LIETUVOS RYTAS VILNIUS,KHI,LIE,IVANOVIC DUSKO,PACESAS TOMAS,45:00,00:00,"GKONTAS, SPIROS","VOJINOVIC, MILIJA","MAJKIC, MARIO",BASKETBALL CENTER OF MOSCOW REGION,1500,90,20,26,5,5,20,38,59,76,20,37,51,71,76,,,,71,,,
U2016_007,DYR-MUN,2016-10-12,19:00:00,1,REGULAR SEASON,U2016,80,77,ZENIT ST PETERSBURG,FC BAYERN MUNICH,DYR,MUN,"KARASEV, VASILY","DJORDJEVIC, ALEKSANDAR",40:00,00:00,"JIMENEZ, BENJAMIN","PETEK, SASO","TRAWICKI, TOMASZ",YUBILEYNI ARENA,4200,80,20,25,4,4,24,47,63,80,12,37,60,77,,,,,,,,
U2016_008,MUR-BUD,2016-10-12,20:45:00,1,REGULAR SEASON,U2016,86,77,UCAM MURCIA,BUDUCNOST VOLI PODGORICA,MUR,BUD,"QUINTANA, OSCAR","SCEPANOVIC, VLADO",40:00,00:00,"PAPAPETROU, PETROS","KOWALSKI, MARCIN","FRITZ, CLEMENS",PALACIO DE LOS DEPORTES DE MURCIA,5671,80,20,24,3,4,19,38,60,86,16,36,52,77,,,,,,,,
U2016_011,PAM-ULM,2016-10-12,19:00:00,1,REGULAR SEASON,U2016,95,58,VALENCIA BASKET,RATIOPHARM ULM,PAM,ULM,PEDRO MARTÍNEZ,THORSTEN LEIBENATH,40:00,00:00,"ZAMOJSKI, JAKUB","HERCEG, SINISA","VAN DEN BROECK, NICK",FUENTE DE SAN LUIS,8300,80,21,28,0,4,26,48,71,95,16,34,45,58,,,,,,,,
U2016_012,LJU-TIV,2016-10-12,20:30:00,1,REGULAR SEASON,U2016,67,73,UNION OLIMPIJA LJUBLJANA,LOKOMOTIV KUBAN KRASNODAR,LJU,TIV,,,41:00,00:00,"MANTYLA, PETRI","KARTAL, ERSAN","PEERANDI, RAIN",TIVOLI ARENA,12000,82,17,24,5,3,15,27,44,65,13,29,50,68,67,,,,73,,,
U2016_014,CED-LKB,2016-10-19,19:00:00,2,REGULAR SEASON,U2016,76,80,CEDEVITA ZAGREB,LIETKABELIS PANEVEZYS,CED,LKB,VELJKO MRSIC,KAZYS MAKSVYTIS,40:00,00:00,"PEREZ PEREZ, MIGUEL","BALAK, AMIT","FRITZ, CLEMENS",DOM SPORTOVA ZAGREB,500,80,21,22,5,4,17,37,57,76,25,48,58,80,,,,,,,,
U2016_015,NOV-CAN,2016-10-18,18:30:00,2,REGULAR SEASON,U2016,80,106,NIZHNY NOVGOROD,HERBALIFE GRAN CANARIA LAS PALMAS,NOV,CAN,STALBERGS ARTURS,PALOMO LUIS CASIMIRO,40:00,00:00,"PAPAPETROU, PETROS","JURAS, MARKO","LAURINAVICIUS, JURGIS",CEC NAGORNY,1500,80,26,25,4,2,24,42,61,80,36,57,78,106,,,,,,,,
U2016_016,BIL-BER,2016-10-19,20:30:00,2,REGULAR SEASON,U2016,93,86,DOMINION BILBAO BASKET,ALBA BERLIN,BIL,BER,,,47:00,00:00,"SHEMMESH, SEFFI","OBRKNEZEVIC, UROS","RADOJKOVIC, JOSIP",BILBAO ARENA,0,94,16,25,4,4,18,35,58,79,3,22,41,67,91,93,,,75,86,,
U2016_018,FUE-KHI,2016-10-19,20:30:00,2,REGULAR SEASON,U2016,89,85,MONTAKIT FUENLABRADA,KHIMKI MOSCOW REGION,FUE,KHI,"CUSPINERA DIEGUEZ, JOSÈ RAMÓN","IVANOVIC, DUSKO",40:00,00:00,"PATERNICO, CARMELO","ROMANO, DAVID","PANTHER, ANNE",FERNANDO MARTIN,4561,80,23,28,5,5,24,40,59,89,14,34,57,85,,,,,,,,
U2016_020,BUD-MAL,2016-10-19,18:45:00,2,REGULAR SEASON,U2016,62,86,BUDUCNOST VOLI PODGORICA,UNICAJA MALAGA,BUD,MAL,VLADO SCEPANOVIC,JOAN PLAZA,40:00,00:00,"MOGULKOC, EMIN","KARTAL, ERSAN","RODSAND, TORKILD",MORACA,2760,80,21,20,2,0,19,34,48,62,31,55,74,86,,,,,,,,
U2016_021,MUN-MUR,2016-10-19,20:00:00,2,REGULAR SEASON,U2016,92,84,FC BAYERN MUNICH,UCAM MURCIA,MUN,MUR,"DJORDEVIC, ALEKSANDAR","QUINTANA, OSCAR",40:00,00:00,"JAVOR, DAMIR","OVINOV, SEMEN","BAUMANIS, INGUS",AUDI DOME,4257,80,32,25,5,5,32,62,75,92,16,35,53,84,,,,,,,,
U2016_023,ULM-LJU,2016-10-19,19:30:00,2,REGULAR SEASON,U2016,87,82,RATIOPHARM ULM,UNION OLIMPIJA LJUBLJANA,ULM,LJU,"LEIBENATH, THORSTEN","OKORN, GASPER",40:00,00:00,"CORTES, CARLOS","BISSANG, JOSEPH","GELLER, RENAUD",RATIOPHARM ARENA,4000,80,18,17,3,4,25,45,63,87,23,41,56,82,,,,,,,,
U2016_024,PAM-JER,2016-10-19,20:30:00,2,REGULAR SEASON,U2016,77,81,VALENCIA BASKET,HAPOEL BANK YAHAV JERUSALEM,PAM,JER,PEDRO MARTINEZ,SIMONE PIANIGIANI,40:00,00:00,"KOROMILAS, ELIAS","VOJINOVIC, MILIJA","MITROVSKI, IGOR",FUENTE DE SAN LUIS,7900,80,21,25,4,3,16,36,58,77,20,41,61,81,,,,,,,,
U2016_026,LKB-NOV,2016-10-26,18:00:00,3,REGULAR SEASON,U2016,72,75,LIETKABELIS PANEVEZYS,NIZHNY NOVGOROD,LKB,NOV,KAZYS MAKSVYTIS,ARTURS STALBERGS,40:00,00:00,"CHRISTODOULOU, CHRISTOS","BISSANG, JOSEPH","RODSAND, TORKILD",CIDO ARENA,4053,80,15,20,5,4,18,41,58,72,16,39,55,75,,,,,,,,
U2016_027,SKO-CED,2016-10-26,19:00:00,3,REGULAR SEASON,U2016,85,89,MZT SKOPJE AERODROM,CEDEVITA ZAGREB,SKO,CED,JONCHEVSKI ALEKSANDAR,MRSIC VELJKO,40:00,00:00,"FOUFIS, IOANNIS","KARTAL, ERSAN","BAUMANIS, INGUS",JANE SANDANSKI,500,80,24,22,5,5,26,46,67,85,26,40,62,89,,,,,,,,
U2016_028,BER-KHI,2016-10-26,20:00:00,3,REGULAR SEASON,U2016,72,102,ALBA BERLIN,KHIMKI MOSCOW REGION,BER,KHI,"CAKI, AHMET ARIF","IVANOVIC, DUSKO",40:00,00:00,"BELOSEVIC, ILIJA","SILVA, SERGIO","GELLER, RENAUD",MERCEDES-BENZ ARENA,9045,80,21,20,5,2,15,40,58,72,30,53,76,102,,,,,,,,
U2016_030,BIL-LIE,2016-10-26,20:30:00,3,REGULAR SEASON,U2016,80,76,DOMINION BILBAO BASKET,LIETUVOS RYTAS VILNIUS,BIL,LIE,CARLES DURAN,TOMAS PACESAS,40:00,00:00,"JOVCIC, MILIVOJE","PASTUSIAK, PIOTR","HALLIKO, AARE",BILBAO ARENA,5108,80,21,17,5,5,22,39,59,80,13,31,56,76,,,,,,,,
U2016_031,DYR-MUR,2016-10-26,19:00:00,3,REGULAR SEASON,U2016,83,85,ZENIT ST PETERSBURG,UCAM MURCIA,DYR,MUR,"KARASEV, VASILY","QUINTANA, OSCAR",45:00,00:00,"RADOVIC, SRETEN","VOJINOVIC, MILIJA","DRAGOJEVIC, IGOR",YUBILEYNI ARENA,2405,90,22,27,4,4,21,36,54,74,25,39,55,74,83,,,,85,,,
U2016_032,MAL-MUN,2016-10-26,20:45:00,3,REGULAR SEASON,U2016,62,74,UNICAJA MALAGA,FC BAYERN MUNICH,MAL,MUN,"PLAZA, JOAN","DJORDJEVIC, ALEKSANDAR",40:00,00:00,"GKONTAS, SPIROS","KOLJENSIC, MILOS","BALAK, AMIT",MARTIN CARPENA,5417,80,24,30,3,4,22,34,48,62,10,26,50,74,,,,,,,,
