,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
4,2021-09-11,15:30,Bundesliga,Matchweek 4,Sat,Home,L,3.0,4.0,Dortmund,0.7,1.8,42.0,17605.0,Lukáš Hrádecký,4-2-3-1,Daniel Siebert,Match Report,,21.9,2.0,2.3,0.27,0.6,3.0,0.0,0.0,11.0,5.0,45.5,2.3,0.7,0.07,2021,Bayer Leverkusen
5,2021-09-16,18:45,Europa Lg,Group stage,Thu,Home,W,2.0,1.0,hu Ferencváros,2.2,1.3,65.0,11013.0,Lukáš Hrádecký,4-2-3-1,Andris Treimanis,Match Report,,19.6,1.0,-0.2,0.09,0.25,2.0,0.0,0.0,22.0,8.0,36.4,-0.2,2.2,0.1,2021,Bayer Leverkusen
6,2021-09-19,15:30,Bundesliga,Matchweek 5,Sun,Away,W,3.0,1.0,Stuttgart,1.4,1.6,36.0,23450.0,Lukáš Hrádecký,4-2-3-1,Benjamin Cortus,Match Report,,11.4,0.0,1.6,0.43,0.75,3.0,0.0,0.0,7.0,4.0,57.1,1.6,1.4,0.2,2021,Bayer Leverkusen
7,2021-09-25,15:30,Bundesliga,Matchweek 6,Sat,Home,W,1.0,0.0,Mainz 05,1.5,0.9,67.0,16624.0,Lukáš Hrádecký,4-2-3-1,Bastian Dankert,Match Report,,19.5,1.0,-0.5,0.06,0.11,1.0,0.0,0.0,17.0,9.0,52.9,-0.5,1.5,0.09,2021,Bayer Leverkusen
8,2021-09-30,20:00,Europa Lg,Group stage,Thu,Away,W,4.0,0.0,sct Celtic,3.4,1.7,45.0,55436.0,Lukáš Hrádecký,4-2-3-1,Marco Di Bello,Match Report,,14.9,0.0,0.6,0.18,0.3,4.0,1.0,1.0,17.0,10.0,58.8,0.2,2.8,0.17,2021,Bayer Leverkusen
9,2021-10-03,19:30,Bundesliga,Matchweek 7,Sun,Away,W,4.0,0.0,Arminia,3.1,0.4,66.0,16250.0,Lukáš Hrádecký,4-2-3-1,Felix Zwayer,Match Report,,18.4,1.0,0.9,0.18,0.5,4.0,1.0,1.0,17.0,6.0,35.3,0.7,2.3,0.14,2021,Bayer Leverkusen
10,2021-10-17,15:30,Bundesliga,Matchweek 8,Sun,Home,L,1.0,5.0,Bayern Munich,0.7,3.2,41.0,29542.0,Lukáš Hrádecký,4-2-3-1,Sven Jablonski,Match Report,,16.1,0.0,0.3,0.17,0.25,1.0,0.0,0.0,6.0,4.0,66.7,0.3,0.7,0.11,2021,Bayer Leverkusen
11,2021-10-21,18:45,Europa Lg,Group stage,Thu,Away,D,1.0,1.0,es Betis,1.0,2.1,54.0,39230.0,Lukáš Hrádecký,4-2-3-1,Bartosz Frankowski,Match Report,,16.3,0.0,0.0,0.08,0.14,1.0,0.0,0.0,12.0,7.0,58.3,0.0,1.0,0.08,2021,Bayer Leverkusen
12,2021-10-24,15:30,Bundesliga,Matchweek 9,Sun,Away,D,2.0,2.0,Köln,0.9,1.8,38.0,49600.0,Lukáš Hrádecký,4-2-3-1,Felix Zwayer,Match Report,,16.0,0.0,1.1,0.22,0.33,2.0,0.0,0.0,9.0,6.0,66.7,1.1,0.9,0.11,2021,Bayer Leverkusen
13,2021-10-27,18:30,DFB-Pokal,Round of 32,Wed,Home,L,1.0,2.0,Karlsruher,,,63.0,13060.0,Lukáš Hrádecký,4-2-3-1,Tobias Welz,Match Report,,,,,0.05,0.33,1.0,0.0,0.0,20.0,3.0,15.0,,,,2021,Bayer Leverkusen
