,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,dist,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,year,team,xg,xga,fk,g-xg,np:g-xg,npxg,npxg/sh
0,2023-08-10,22:00,Europa Lg,Third qualifying round,Thu,Home,W,1.0,0.0,be Genk,,24123.0,Kostas Fortounis,4-3-3,Glenn Nyberg,Match Report,Leg 1 of 2,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,2023,Olympiacos,,,,,,,
1,2023-08-17,20:00,Europa Lg,Third qualifying round,Thu,Away,D,1.0,1.0,be Genk,,11998.0,Kostas Fortounis,4-2-3-1,Tobias Stieler,Match Report,Leg 2 of 2; Olympiacos won,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,2023,Olympiacos,,,,,,,
2,2023-08-20,22:00,Super League,Regular season,Sun,Home,W,2.0,0.0,Panserraikos,,,Youssef El-Arabi,4-2-3-1,Ioannis Papadopoulos,Match Report,,,,,2.0,1.0,1.0,,,,2023,Olympiacos,,,,,,,
3,2023-08-24,22:00,Europa Lg,Play-off round,Thu,Home,W,3.0,1.0,rs Čukarički,67.0,24332.0,Kostas Fortounis,4-2-3-1,Donatas Rumšas,Match Report,Leg 1 of 2,,1.0,1.0,3.0,0.0,0.0,3.0,3.0,100.0,2023,Olympiacos,,,,,,,
4,2023-08-27,21:30,Super League,Regular season,Sun,Home,W,4.0,0.0,Atromitos,,,Kostas Fortounis,4-2-3-1,Konstantinos Perrakis,Match Report,,,,,4.0,0.0,0.0,,,,2023,Olympiacos,,,,,,,
5,2023-08-31,20:00,Europa Lg,Play-off round,Thu,Away,W,3.0,0.0,rs Čukarički,70.0,6812.0,Kostas Fortounis,4-2-3-1,Danny Makkelie,Match Report,Leg 2 of 2; Olympiacos won,,0.13,0.33,3.0,0.0,0.0,23.0,9.0,39.1,2023,Olympiacos,,,,,,,
6,2023-09-03,20:00,Super League,Regular season,Sun,Home,W,4.0,0.0,PAS Lamia,,,Kostas Fortounis,4-2-3-1,Spyridon Zampalas,Match Report,,,,,3.0,0.0,0.0,,,,2023,Olympiacos,,,,,,,
7,2023-09-16,,Super League,Regular season,Sat,Away,,,,AEK Athens,,,,,,Head-to-Head,,,0.29,0.57,17.0,1.0,1.0,28.0,14.0,50.0,2023,Olympiacos,,,,,,,
8,2023-09-21,22:00,Europa Lg,Group stage,Thu,Home,,,,de Freiburg,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
9,2023-09-23,,Super League,Regular season,Sat,Home,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
10,2023-09-27,,Super League,Regular season,Wed,Home,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
11,2023-09-30,,Super League,Regular season,Sat,Away,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
12,2023-10-05,18:45,Europa Lg,Group stage,Thu,Away,,,,rs TSC Bačka Top,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
13,2023-10-21,,Super League,Regular season,Sat,Home,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
14,2023-10-26,19:45,Europa Lg,Group stage,Thu,Home,,,,eng West Ham,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
15,2023-10-28,,Super League,Regular season,Sat,Away,,,,OFI Crete,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
16,2023-11-04,,Super League,Regular season,Sat,Home,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
17,2023-11-09,20:00,Europa Lg,Group stage,Thu,Away,,,,eng West Ham,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
18,2023-11-11,,Super League,Regular season,Sat,Away,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
19,2023-11-25,,Super League,Regular season,Sat,Home,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
20,2023-11-30,18:45,Europa Lg,Group stage,Thu,Away,,,,de Freiburg,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
21,2023-12-02,,Super League,Regular season,Sat,Away,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
22,2023-12-09,,Super League,Regular season,Sat,Away,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
23,2023-12-14,22:00,Europa Lg,Group stage,Thu,Home,,,,rs TSC Bačka Top,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
24,2023-12-16,,Super League,Regular season,Sat,Home,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
25,2023-12-20,,Super League,Regular season,Wed,Away,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
26,2024-01-03,,Super League,Regular season,Wed,Home,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
27,2024-01-06,,Super League,Regular season,Sat,Away,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
28,2024-01-13,,Super League,Regular season,Sat,Away,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
29,2024-01-20,,Super League,Regular season,Sat,Home,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
30,2024-01-27,,Super League,Regular season,Sat,Away,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
31,2024-02-03,,Super League,Regular season,Sat,Home,,,,OFI Crete,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
32,2024-02-10,,Super League,Regular season,Sat,Away,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
33,2024-02-17,,Super League,Regular season,Sat,Home,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
34,2024-02-24,,Super League,Regular season,Sat,Away,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
35,2024-03-03,,Super League,Regular season,Sun,Home,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,Olympiacos,,,,,,,
0,2023-07-25,21:00,Champions Lg,Second qualifying round,Tue,Away,W,3,1,ua SK Dnipro-1,,5248.0,Bart Schenkeveld,4-3-3,Daniele Chiffi,Match Report,Leg 1 of 2,,,,3.0,1.0,1.0,,,,2023,Panathinaikos,,,,,,,
1,2023-08-01,20:30,Champions Lg,Second qualifying round,Tue,Home,D,2,2,ua SK Dnipro-1,,14098.0,Rubén Pérez,4-3-3,Bastian Dankert,Match Report,Leg 2 of 2; Panathinaikos won,,,,2.0,0.0,0.0,,,,2023,Panathinaikos,,,,,,,
2,2023-08-09,21:00,Champions Lg,Third qualifying round,Wed,Home,W,1,0,fr Marseille,,11270.0,Rubén Pérez,4-2-3-1,István Kovács,Match Report,Leg 1 of 2,,,,1.0,0.0,0.0,,,,2023,Panathinaikos,,,,,,,
3,2023-08-15,21:00,Champions Lg,Third qualifying round,Tue,Away,L,1 (5),2 (3),fr Marseille,,63050.0,Rubén Pérez,4-2-3-1,Michael Oliver,Match Report,Leg 2 of 2; Panathinaikos won; Panathinaikos won on penalty kicks following extra time,,,,1.0,1.0,1.0,,,,2023,Panathinaikos,,,,,,,
4,2023-08-19,22:00,Super League,Regular season,Sat,Home,,,,Atromitos,,,,,,,Match Postponed,,0.13,0.5,1.0,0.0,0.0,8.0,2.0,25.0,2023,Panathinaikos,,,,,,,
5,2023-08-23,20:00,Champions Lg,Play-off round,Wed,Away,L,1,2,pt Braga,47.0,23401.0,Rubén Pérez,4-3-3,Felix Zwayer,Match Report,Leg 1 of 2,,,,3.0,0.0,0.0,,,,2023,Panathinaikos,,,,,,,
6,2023-08-26,20:00,Super League,Regular season,Sat,Home,W,3,0,Volos NFC,,,Bart Schenkeveld,4-3-3,Aristotelis Diamantopoulos,Match Report,,,0.0,0.0,0.0,0.0,0.0,11.0,2.0,18.2,2023,Panathinaikos,,,,,,,
7,2023-08-29,22:00,Champions Lg,Play-off round,Tue,Home,L,0,1,pt Braga,58.0,61390.0,Rubén Pérez,4-2-3-1,Daniele Orsato,Match Report,Leg 2 of 2; Braga won,,,,1.0,0.0,0.0,,,,2023,Panathinaikos,,,,,,,
8,2023-09-03,21:45,Super League,Regular season,Sun,Away,W,1,0,PAS Giannina,,,Bart Schenkeveld,4-3-3,Christos Vergetis,Match Report,,,0.05,0.25,12.0,2.0,2.0,19.0,4.0,21.1,2023,Panathinaikos,,,,,,,
9,2023-09-16,,Super League,Regular season,Sat,Away,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
10,2023-09-21,19:45,Europa Lg,Group stage,Thu,Home,,,,es Villarreal,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
11,2023-09-23,,Super League,Regular season,Sat,Home,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
12,2023-09-27,,Super League,Regular season,Wed,Away,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
13,2023-09-30,,Super League,Regular season,Sat,Home,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
14,2023-10-05,22:00,Europa Lg,Group stage,Thu,Away,,,,il Maccabi Haifa,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
15,2023-10-21,,Super League,Regular season,Sat,Away,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
16,2023-10-26,22:00,Europa Lg,Group stage,Thu,Home,,,,fr Rennes,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
17,2023-10-28,,Super League,Regular season,Sat,Home,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
18,2023-11-04,,Super League,Regular season,Sat,Away,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
19,2023-11-09,18:45,Europa Lg,Group stage,Thu,Away,,,,fr Rennes,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
20,2023-11-11,,Super League,Regular season,Sat,Home,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
21,2023-11-25,,Super League,Regular season,Sat,Away,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
22,2023-11-30,21:00,Europa Lg,Group stage,Thu,Away,,,,es Villarreal,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
23,2023-12-02,,Super League,Regular season,Sat,Home,,,,OFI Crete,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
24,2023-12-09,,Super League,Regular season,Sat,Away,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
25,2023-12-14,19:45,Europa Lg,Group stage,Thu,Home,,,,il Maccabi Haifa,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
26,2023-12-16,,Super League,Regular season,Sat,Away,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
27,2023-12-20,,Super League,Regular season,Wed,Home,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
28,2024-01-03,,Super League,Regular season,Wed,Home,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
29,2024-01-06,,Super League,Regular season,Sat,Away,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
30,2024-01-13,,Super League,Regular season,Sat,Home,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
31,2024-01-20,,Super League,Regular season,Sat,Away,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
32,2024-01-27,,Super League,Regular season,Sat,Home,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
33,2024-02-03,,Super League,Regular season,Sat,Away,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
34,2024-02-10,,Super League,Regular season,Sat,Home,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
35,2024-02-17,,Super League,Regular season,Sat,Away,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
36,2024-02-24,,Super League,Regular season,Sat,Home,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
37,2024-03-03,,Super League,Regular season,Sun,Away,,,,OFI Crete,,,,,,Head-to-Head,,,,,,,,,,,2023,Panathinaikos,,,,,,,
0,2023-07-27,20:30,Conf Lg,Second qualifying round,Thu,Home,D,0.0,0.0,il Beitar Jerusalem,,16851.0,Stefan Schwab,4-2-3-1,Mykola Balakin,Match Report,Leg 1 of 2,,,,0.0,0.0,1.0,,,,2023,PAOK,,,,,,,
1,2023-08-03,20:30,Conf Lg,Second qualifying round,Thu,Away,W,4.0,1.0,il Beitar Jerusalem,,26557.0,Stefan Schwab,4-2-3-1,Benoît Millot,Match Report,Leg 2 of 2; PAOK won,,,,2.0,0.0,0.0,,,,2023,PAOK,,,,,,,
2,2023-08-10,21:00,Conf Lg,Third qualifying round,Thu,Away,D,0.0,0.0,hr Hajduk Split,,33573.0,Andrija Živković,4-2-3-1,Morten Krogh,Match Report,Leg 1 of 2,,,,0.0,0.0,0.0,,,,2023,PAOK,,,,,,,
3,2023-08-17,19:30,Conf Lg,Third qualifying round,Thu,Home,W,3.0,0.0,hr Hajduk Split,,24133.0,Stefan Schwab,4-2-3-1,Sascha Stegemann,Match Report,Leg 2 of 2; PAOK won,,,,3.0,1.0,1.0,,,,2023,PAOK,,,,,,,
4,2023-08-20,20:00,Super League,Regular season,Sun,Home,W,3.0,0.0,Asteras Tripoli,,,Vieirinha,4-2-3-1,Vassilis Fotias,Match Report,,,,,3.0,0.0,0.0,,,,2023,PAOK,,,,,,,
5,2023-08-24,19:45,Conf Lg,Play-off round,Thu,Away,W,2.0,1.0,sct Hearts,,17409.0,Stefan Schwab,4-2-3-1,Andris Treimanis,Match Report,Leg 1 of 2,,,,2.0,1.0,1.0,,,,2023,PAOK,,,,,,,
6,2023-08-27,21:00,Super League,Regular season,Sun,Home,W,2.0,1.0,AO Kifisia,,,Vieirinha,4-2-3-1,Konstantinos Tsetsilas,Match Report,,,,,1.0,0.0,1.0,,,,2023,PAOK,,,,,,,
7,2023-08-31,20:30,Conf Lg,Play-off round,Thu,Home,W,4.0,0.0,sct Hearts,,19032.0,Vieirinha,4-2-3-1,Guillermo Cuadra,Match Report,Leg 2 of 2; PAOK won,,,,4.0,0.0,0.0,,,,2023,PAOK,,,,,,,
8,2023-09-03,20:00,Super League,Regular season,Sun,Away,L,0.0,1.0,OFI Crete,,,Stefan Schwab,4-2-3-1,Aristotelis Diamantopoulos,Match Report,,,,,0.0,0.0,0.0,,,,2023,PAOK,,,,,,,
9,2023-09-16,,Super League,Regular season,Sat,Home,,,,Aris,,,,,,Head-to-Head,,,,,15.0,2.0,4.0,,,,2023,PAOK,,,,,,,
10,2023-09-21,19:45,Conf Lg,Group stage,Thu,Away,,,,fi HJK,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
11,2023-09-23,,Super League,Regular season,Sat,Away,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
12,2023-09-27,,Super League,Regular season,Wed,Home,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
13,2023-09-30,,Super League,Regular season,Sat,Away,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
14,2023-10-05,22:00,Conf Lg,Group stage,Thu,Home,,,,de Eint Frankfurt,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
15,2023-10-21,,Super League,Regular season,Sat,Home,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
16,2023-10-26,20:00,Conf Lg,Group stage,Thu,Away,,,,sct Aberdeen,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
17,2023-10-28,,Super League,Regular season,Sat,Away,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
18,2023-11-04,,Super League,Regular season,Sat,Away,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
19,2023-11-09,19:45,Conf Lg,Group stage,Thu,Home,,,,sct Aberdeen,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
20,2023-11-11,,Super League,Regular season,Sat,Home,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
21,2023-11-25,,Super League,Regular season,Sat,Away,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
22,2023-11-30,21:00,Conf Lg,Group stage,Thu,Away,,,,de Eint Frankfurt,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
23,2023-12-02,,Super League,Regular season,Sat,Home,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
24,2023-12-09,,Super League,Regular season,Sat,Away,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
25,2023-12-14,19:45,Conf Lg,Group stage,Thu,Home,,,,fi HJK,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
26,2023-12-16,,Super League,Regular season,Sat,Away,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
27,2023-12-20,,Super League,Regular season,Wed,Home,,,,OFI Crete,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
28,2024-01-03,,Super League,Regular season,Wed,Away,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
29,2024-01-06,,Super League,Regular season,Sat,Home,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
30,2024-01-13,,Super League,Regular season,Sat,Away,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
31,2024-01-20,,Super League,Regular season,Sat,Home,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
32,2024-01-27,,Super League,Regular season,Sat,Away,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
33,2024-02-03,,Super League,Regular season,Sat,Home,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
34,2024-02-10,,Super League,Regular season,Sat,Home,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
35,2024-02-17,,Super League,Regular season,Sat,Away,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
36,2024-02-24,,Super League,Regular season,Sat,Home,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
37,2024-03-03,,Super League,Regular season,Sun,Away,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,PAOK,,,,,,,
0,2023-08-20,19:30,Super League,Regular season,Sun,Home,W,3.0,2.0,Aris,,,Praxitelis Vouros,3-5-2,Evangelos Manouhos,Match Report,,,,,3.0,0.0,0.0,,,,2023,OFI Crete,,,,,,,
1,2023-08-26,20:00,Super League,Regular season,Sat,Away,L,0.0,3.0,Asteras Tripoli,,,Praxitelis Vouros,3-4-1-2,Anastasios Papapetrou,Match Report,,,,,0.0,0.0,0.0,,,,2023,OFI Crete,,,,,,,
2,2023-09-03,20:00,Super League,Regular season,Sun,Home,W,1.0,0.0,PAOK,,,Praxitelis Vouros,3-5-1-1,Aristotelis Diamantopoulos,Match Report,,,,,1.0,0.0,0.0,,,,2023,OFI Crete,,,,,,,
3,2023-09-16,,Super League,Regular season,Sat,Away,,,,PAS Lamia,,,,,,Head-to-Head,,,,,4.0,0.0,0.0,,,,2023,OFI Crete,,,,,,,
4,2023-09-23,,Super League,Regular season,Sat,Home,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
5,2023-09-27,,Super League,Regular season,Wed,Away,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
6,2023-09-30,,Super League,Regular season,Sat,Home,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
7,2023-10-21,,Super League,Regular season,Sat,Away,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
8,2023-10-28,,Super League,Regular season,Sat,Home,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
9,2023-11-04,,Super League,Regular season,Sat,Away,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
10,2023-11-11,,Super League,Regular season,Sat,Home,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
11,2023-11-25,,Super League,Regular season,Sat,Home,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
12,2023-12-02,,Super League,Regular season,Sat,Away,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
13,2023-12-09,,Super League,Regular season,Sat,Away,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
14,2023-12-16,,Super League,Regular season,Sat,Home,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
15,2023-12-20,,Super League,Regular season,Wed,Away,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
16,2024-01-03,,Super League,Regular season,Wed,Home,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
17,2024-01-06,,Super League,Regular season,Sat,Away,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
18,2024-01-13,,Super League,Regular season,Sat,Home,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
19,2024-01-20,,Super League,Regular season,Sat,Away,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
20,2024-01-27,,Super League,Regular season,Sat,Home,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
21,2024-02-03,,Super League,Regular season,Sat,Away,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
22,2024-02-10,,Super League,Regular season,Sat,Home,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
23,2024-02-17,,Super League,Regular season,Sat,Away,,,,PAS Giannina,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
24,2024-02-24,,Super League,Regular season,Sat,Away,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
25,2024-03-03,,Super League,Regular season,Sun,Home,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,OFI Crete,,,,,,,
0,2023-08-20,19:00,Super League,Regular season,Sun,Home,W,3.0,0.0,AO Kifisia,,,Pedro Pérez Conde,4-3-3,Athanasios Tzilos,Match Report,,,,,3.0,1.0,1.0,,,,2023,PAS Giannina,,,,,,,
1,2023-08-25,21:00,Super League,Regular season,Fri,Away,D,0.0,0.0,Panetolikos,,,Epaminondas Pantelakis,4-3-3,Konstantinos Katoikos,Match Report,,,,,0.0,0.0,0.0,,,,2023,PAS Giannina,,,,,,,
2,2023-09-03,21:45,Super League,Regular season,Sun,Home,L,0.0,1.0,Panathinaikos,,,Pedro Pérez Conde,4-3-3,Christos Vergetis,Match Report,,,,,0.0,0.0,0.0,,,,2023,PAS Giannina,,,,,,,
3,2023-09-16,,Super League,Regular season,Sat,Away,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,3.0,1.0,1.0,,,,2023,PAS Giannina,,,,,,,
4,2023-09-23,,Super League,Regular season,Sat,Home,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
5,2023-09-27,,Super League,Regular season,Wed,Away,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
6,2023-09-30,,Super League,Regular season,Sat,Home,,,,Olympiacos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
7,2023-10-21,,Super League,Regular season,Sat,Away,,,,PAS Lamia,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
8,2023-10-28,,Super League,Regular season,Sat,Away,,,,Aris,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
9,2023-11-04,,Super League,Regular season,Sat,Home,,,,Volos NFC,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
10,2023-11-11,,Super League,Regular season,Sat,Away,,,,OFI Crete,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
11,2023-11-25,,Super League,Regular season,Sat,Home,,,,AEK Athens,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
12,2023-12-02,,Super League,Regular season,Sat,Away,,,,Atromitos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
13,2023-12-09,,Super League,Regular season,Sat,Away,,,,AO Kifisia,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
14,2023-12-16,,Super League,Regular season,Sat,Home,,,,Panetolikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
15,2023-12-20,,Super League,Regular season,Wed,Away,,,,Panathinaikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
16,2024-01-03,,Super League,Regular season,Wed,Home,,,,Asteras Tripoli,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
17,2024-01-06,,Super League,Regular season,Sat,Away,,,,PAOK,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
18,2024-01-13,,Super League,Regular season,Sat,Home,,,,Panserraikos,,,,,,Head-to-Head,,,,,,,,,,,2023,PAS Giannina,,,,,,,
