,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
19,2023-07-08,21:00,Série A,Matchweek 14,Sat,Away,D,1.0,1.0,Palmeiras,0.8,1.1,56.0,,David Luiz,4-3-3,Ramon Abatti Abel,Match Report,,16.9,0.0,0.2,0.1,0.25,1.0,0.0,0.0,10.0,4.0,40.0,0.2,0.8,0.08,2023,Flamengo
20,2023-07-16,16:00,Série A,Matchweek 15,Sun,Away,D,0.0,0.0,Fluminense,0.4,1.5,46.0,62354.0,Everton Ribeiro,4-2-3-1,Savio Pereira,Match Report,,19.5,1.0,-0.4,0.0,0.0,0.0,0.0,0.0,8.0,3.0,37.5,-0.4,0.4,0.05,2023,Flamengo
21,2023-07-22,16:00,Série A,Matchweek 16,Sat,Home,D,1.0,1.0,América (MG),2.5,1.3,66.0,,Everton Ribeiro,4-2-3-1,Rodrigo José Pereira de Lima,Match Report,,17.3,1.0,-1.5,0.06,0.14,1.0,0.0,0.0,16.0,7.0,43.8,-1.5,2.5,0.17,2023,Flamengo
22,2023-07-29,21:00,Série A,Matchweek 17,Sat,Away,W,2.0,1.0,Atlético Mineiro,1.8,0.9,60.0,,Everton Ribeiro,4-2-3-1,Flavio Rodrigues de Souza,Match Report,,19.4,1.0,0.2,0.33,0.4,2.0,0.0,0.0,6.0,5.0,83.3,0.2,1.8,0.3,2023,Flamengo
23,2023-08-03,21:00,Libertadores,Round of 16,Thu,Home,W,1.0,0.0,py Olimpia,1.6,0.8,74.0,67066.0,Everton Ribeiro,4-2-3-1,Darío Herrera,Match Report,Leg 1 of 2,18.1,0.0,-0.6,0.06,0.2,1.0,0.0,0.0,16.0,5.0,31.3,-0.6,1.6,0.1,2023,Flamengo
24,2023-08-06,19:00,Série A,Matchweek 18,Sun,Away,L,0.0,3.0,Cuiabá,0.8,1.9,62.0,33091.0,David Luiz,4-2-3-1,Anderson Daronco,Match Report,,17.6,0.0,-0.8,0.0,0.0,0.0,0.0,0.0,10.0,4.0,40.0,-0.8,0.8,0.08,2023,Flamengo
25,2023-08-10,20:00,Libertadores,Round of 16,Thu,Away,L,1.0,3.0,py Olimpia,0.4,1.3,55.0,,Everton Ribeiro,4-2-3-1,Wilmar Roldán,Match Report,Leg 2 of 2; Olimpia won,11.2,0.0,0.6,0.25,0.33,1.0,0.0,0.0,4.0,3.0,75.0,0.6,0.4,0.09,2023,Flamengo
26,2023-08-13,18:30,Série A,Matchweek 19,Sun,Home,D,1.0,1.0,São Paulo,1.4,0.8,54.0,,Gabriel Barbosa,4-2-3-1,Rafael Rodrigo Klein,Match Report,,21.2,0.0,-0.4,0.0,0.0,1.0,1.0,1.0,18.0,6.0,33.3,-0.6,0.6,0.04,2023,Flamengo
27,2023-08-20,16:00,Série A,Matchweek 20,Sun,Away,W,3.0,2.0,Coritiba,1.9,2.6,62.0,,Gabriel Barbosa,4-2-2-2,Raphael Claus,Match Report,,17.4,0.0,1.1,0.13,0.67,3.0,1.0,1.0,16.0,3.0,18.8,0.9,1.1,0.07,2023,Flamengo
28,2023-08-26,18:30,Série A,Matchweek 21,Sat,Home,D,0.0,0.0,Internacional,0.7,0.3,59.0,,Gabriel Barbosa,4-2-3-1,Edina Alves Batista,Match Report,,12.1,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,8.0,4.0,50.0,-0.7,0.7,0.08,2023,Flamengo
29,2023-09-02,21:00,Série A,Matchweek 22,Sat,Away,,,,Botafogo (RJ),,,,,,,,Head-to-Head,,17.5,8.0,3.2,0.11,0.33,47.0,6.0,7.0,365.0,126.0,34.5,2.7,38.3,0.11,2023,Flamengo
30,2023-09-13,21:30,Série A,Matchweek 23,Wed,Home,,,,Ath Paranaense,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
31,2023-09-20,19:00,Série A,Matchweek 24,Wed,Away,,,,Goiás,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
32,2023-09-30,,Série A,Matchweek 25,Sat,Home,,,,Bahia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
33,2023-10-07,,Série A,Matchweek 26,Sat,Away,,,,Corinthians,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
34,2023-10-18,,Série A,Matchweek 27,Wed,Away,,,,Cruzeiro,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
35,2023-10-21,,Série A,Matchweek 28,Sat,Home,,,,Vasco da Gama,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
36,2023-10-25,,Série A,Matchweek 29,Wed,Away,,,,Grêmio,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
37,2023-10-28,,Série A,Matchweek 30,Sat,Home,,,,Bragantino,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
38,2023-11-01,,Série A,Matchweek 31,Wed,Home,,,,Santos,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
39,2023-11-04,,Série A,Matchweek 32,Sat,Away,,,,Fortaleza,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
40,2023-11-08,,Série A,Matchweek 33,Wed,Home,,,,Palmeiras,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
41,2023-11-11,,Série A,Matchweek 34,Sat,Home,,,,Fluminense,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
42,2023-11-22,,Série A,Matchweek 35,Wed,Away,,,,América (MG),,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
43,2023-11-25,,Série A,Matchweek 36,Sat,Home,,,,Atlético Mineiro,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
44,2023-11-29,,Série A,Matchweek 37,Wed,Home,,,,Cuiabá,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
45,2023-12-03,,Série A,Matchweek 38,Sun,Away,,,,São Paulo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Flamengo
0,2023-04-05,19:30,Libertadores,Group stage,Wed,Away,W,3.0,1.0,pe Sporting Cristal,4.0,0.4,56.0,,Nino,4-2-3-1,Wilmar Roldán,Match Report,,14.7,0.0,-1.0,0.12,0.33,3.0,0.0,0.0,25.0,9.0,36.0,-1.0,4.0,0.17,2023,Fluminense
