,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
0,2021-08-07,21:00,Ligue 1,Matchweek 1,Sat,Home,L,1,2,Paris S-G,0.9,1.2,44.0,15248.0,Jimmy Giraudon,5-4-1,Amaury Delerue,Match Report,,19.8,0.0,0.1,0.07,0.14,1.0,0.0,0.0,15.0,7.0,46.7,0.1,0.9,0.06,2021,Troyes
1,2021-08-15,15:00,Ligue 1,Matchweek 2,Sun,Away,L,0,2,Clermont Foot,0.7,1.9,36.0,11005.0,Jimmy Giraudon,5-4-1,Romain Lissorgue,Match Report,,17.6,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,-0.7,0.7,0.12,2021,Troyes
2,2021-08-22,15:00,Ligue 1,Matchweek 3,Sun,Away,D,1,1,Strasbourg,1.4,2.2,40.0,22185.0,Jimmy Giraudon,3-4-3,Jérôme Brisard,Match Report,,16.4,0.0,-0.4,0.1,0.17,1.0,0.0,0.0,10.0,6.0,60.0,-0.4,1.4,0.14,2021,Troyes
3,2021-08-29,13:00,Ligue 1,Matchweek 4,Sun,Home,L,1,2,Monaco,0.7,1.9,49.0,9866.0,Jimmy Giraudon,3-4-3,Johan Hamel,Match Report,,19.2,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,12.0,3.0,25.0,-0.7,0.7,0.06,2021,Troyes
4,2021-09-12,15:00,Ligue 1,Matchweek 5,Sun,Away,W,2,0,Metz,0.6,0.7,38.0,15269.0,Jimmy Giraudon,5-4-1,Pierre Gaillouste,Match Report,,26.2,1.0,1.4,0.2,0.4,2.0,0.0,0.0,10.0,5.0,50.0,1.4,0.6,0.06,2021,Troyes
5,2021-09-19,15:00,Ligue 1,Matchweek 6,Sun,Home,D,1,1,Montpellier,1.1,0.2,42.0,7405.0,Jimmy Giraudon,3-5-1-1,Florent Batta,Match Report,,23.0,2.0,-0.1,0.13,0.33,1.0,0.0,0.0,8.0,3.0,37.5,-0.1,1.1,0.13,2021,Troyes
6,2021-09-22,21:00,Ligue 1,Matchweek 7,Wed,Away,L,1,3,Lyon,1.4,1.8,32.0,29714.0,Jimmy Giraudon,3-4-3,Stéphanie Frappart,Match Report,,17.8,0.0,-0.4,0.08,0.17,1.0,0.0,0.0,12.0,6.0,50.0,-0.4,1.4,0.13,2021,Troyes
7,2021-09-26,15:00,Ligue 1,Matchweek 8,Sun,Home,D,1,1,Angers,1.0,1.3,37.0,6868.0,Jimmy Giraudon,3-4-3,Thomas Léonard,Match Report,,16.4,0.0,0.0,0.17,0.33,1.0,0.0,0.0,6.0,3.0,50.0,0.0,1.0,0.18,2021,Troyes
8,2021-10-03,15:00,Ligue 1,Matchweek 9,Sun,Away,L,0,2,Nantes,1.3,1.9,46.0,15150.0,Yoann Salmier,3-4-3,Jérôme Brisard,Match Report,,15.8,0.0,-1.3,0.0,0.0,0.0,0.0,0.0,15.0,4.0,26.7,-1.3,1.3,0.09,2021,Troyes
9,2021-10-17,13:00,Ligue 1,Matchweek 10,Sun,Home,W,1,0,Nice,0.9,0.6,39.0,7925.0,Jimmy Giraudon,3-4-3,Johan Hamel,Match Report,,15.2,0.0,0.1,0.13,0.33,1.0,0.0,0.0,8.0,3.0,37.5,0.1,0.9,0.11,2021,Troyes
10,2021-10-24,15:00,Ligue 1,Matchweek 11,Sun,Away,W,2,1,Reims,0.9,0.8,45.0,12326.0,Jimmy Giraudon,3-4-3,Pierre Gaillouste,Match Report,,17.1,0.0,1.1,0.29,0.5,2.0,0.0,0.0,7.0,4.0,57.1,1.1,0.9,0.14,2021,Troyes
11,2021-10-31,15:00,Ligue 1,Matchweek 12,Sun,Home,D,2,2,Rennes,1.3,1.3,38.0,8550.0,Jimmy Giraudon,5-4-1,Jeremy Stinat,Match Report,,12.6,0.0,0.7,0.14,0.4,2.0,0.0,0.0,14.0,5.0,35.7,0.7,1.3,0.09,2021,Troyes
12,2021-11-05,21:00,Ligue 1,Matchweek 13,Fri,Away,L,0,4,Lens,0.5,3.0,40.0,35706.0,Jimmy Giraudon,3-4-3,Thomas Léonard,Match Report,,18.6,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,11.0,3.0,27.3,-0.5,0.5,0.05,2021,Troyes
13,2021-11-21,15:00,Ligue 1,Matchweek 14,Sun,Home,L,0,1,Saint-Étienne,1.1,1.1,47.0,10644.0,Jimmy Giraudon,3-4-1-2,Florent Batta,Match Report,,16.5,1.0,-1.1,0.0,0.0,0.0,0.0,0.0,15.0,3.0,20.0,-1.1,1.1,0.07,2021,Troyes
14,2021-11-28,20:45,Ligue 1,Matchweek 15,Sun,Away,L,0,1,Marseille,0.1,1.6,44.0,,Jimmy Giraudon,5-4-1,Jérémie Pignard,Match Report,,20.4,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,-0.1,0.1,0.03,2021,Troyes
15,2021-12-01,19:00,Ligue 1,Matchweek 16,Wed,Home,W,2,0,Lorient,1.0,0.4,56.0,6506.0,Jimmy Giraudon,3-5-1-1,Jeremy Stinat,Match Report,,17.3,0.0,1.0,0.2,0.67,2.0,0.0,0.0,10.0,3.0,30.0,1.0,1.0,0.1,2021,Troyes
