,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
21,2023-05-29,21:30,Primera Div,Matchweek 18,Mon,Away,D,2.0,2.0,Vélez Sarsf,,,61.0,,Franco Armani,4-2-3-1,Fernando Echenique,Match Report,,,,,0.11,0.18,2.0,0.0,0.0,19.0,11.0,57.9,,,,2023,River Plate
22,2023-06-07,21:30,Libertadores,Group stage,Wed,Home,W,2.0,0.0,br Fluminense,2.2,0.7,46.0,,Franco Armani,4-1-2-1-2◆,Wilmar Roldán,Match Report,,24.6,0.0,-0.2,0.05,0.25,2.0,1.0,1.0,22.0,4.0,18.2,-0.4,1.4,0.06,2023,River Plate
23,2023-06-12,19:15,Primera Div,Matchweek 20,Mon,Away,W,4.0,1.0,Banfield,,,66.0,,Franco Armani,4-1-3-2,Facundo Tello,Match Report,,,,,0.4,0.57,4.0,0.0,0.0,10.0,7.0,70.0,,,,2023,River Plate
24,2023-06-17,21:00,Primera Div,Matchweek 19,Sat,Home,W,1.0,0.0,Defensa y Just,,,64.0,,Franco Armani,4-3-1-2,Fernando Rapallini,Match Report,,,,,0.06,0.2,1.0,0.0,0.0,17.0,5.0,29.4,,,,2023,River Plate
25,2023-06-22,19:45,Primera Div,Matchweek 21,Thu,Home,W,3.0,1.0,Instituto Atlético Central Córdoba,,,72.0,,Franco Armani,4-1-3-2,Hernán Mastrángelo,Match Report,,,,,0.12,0.33,3.0,0.0,0.0,26.0,9.0,34.6,,,,2023,River Plate
26,2023-06-27,21:00,Libertadores,Group stage,Tue,Home,W,2.0,0.0,bo The Strongest,2.2,0.3,67.0,62910.0,Enzo Pérez,4-2-3-1,Gustavo Tejera,Match Report,,17.8,1.0,-0.2,0.1,0.25,2.0,0.0,0.0,20.0,8.0,40.0,-0.2,2.2,0.12,2023,River Plate
27,2023-07-01,15:00,Primera Div,Matchweek 22,Sat,Away,L,1.0,2.0,Barracas Central,,,67.0,,Franco Armani,3-1-4-2,Leandro Rey Hilfer,Match Report,,,,,0.08,0.33,1.0,0.0,0.0,13.0,3.0,23.1,,,,2023,River Plate
28,2023-07-05,21:30,Primera Div,Matchweek 23,Wed,Home,W,2.0,0.0,Colón,,,69.0,,Enzo Pérez,4-2-3-1,Nicolás Ramírez,Match Report,,,,,0.1,0.4,2.0,0.0,0.0,20.0,5.0,25.0,,,,2023,River Plate
29,2023-07-08,20:30,Primera Div,Matchweek 24,Sat,Away,D,0.0,0.0,San Lorenzo,,,69.0,,Enzo Pérez,4-2-3-1,Facundo Tello,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,13.0,3.0,23.1,,,,2023,River Plate
30,2023-07-15,19:00,Primera Div,Matchweek 25,Sat,Home,W,3.0,1.0,Estudiantes,,,58.0,,Enzo Pérez,4-2-3-1,Andrés Merlos,Match Report,,,,,0.18,0.4,3.0,1.0,1.0,11.0,5.0,45.5,,,,2023,River Plate
31,2023-07-23,,Primera Div,Matchweek 26,Sun,Away,,,,Rosario Cent,,,,,,,,Head-to-Head,,20.3,5.0,42.8,0.08,0.24,55.0,12.0,13.0,517.0,179.0,34.6,33.2,9.8,0.09,2023,River Plate
32,2023-07-30,,Primera Div,Matchweek 27,Sun,Home,,,,Racing Club,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,River Plate
33,2023-08-01,21:00,Libertadores,Round of 16,Tue,Home,,,,br Internacional,,,,,,,,Head-to-Head,Leg 1 of 2,,,,,,,,,,,,,,,2023,River Plate
34,2023-08-08,21:00,Libertadores,Round of 16,Tue,Away,,,,br Internacional,,,,,,,,Head-to-Head,Leg 2 of 2,,,,,,,,,,,,,,,2023,River Plate
0,2023-01-28,19:15,Primera Div,Matchweek 1,Sat,Home,L,0.0,1.0,Independiente,,,61.0,,Guido Herrera,4-2-3-1,Hernán Mastrángelo,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,,,,2023,Talleres
1,2023-02-05,21:30,Primera Div,Matchweek 2,Sun,Away,W,2.0,0.0,Tucumán,,,47.0,,Guido Herrera,4-4-2,Maximiliano Ramírez,Match Report,,,,,0.22,1.0,2.0,0.0,0.0,9.0,2.0,22.2,,,,2023,Talleres
2,2023-02-11,21:30,Primera Div,Matchweek 3,Sat,Home,W,2.0,1.0,Boca Juniors,,,45.0,,Guido Herrera,4-2-3-1,Darío Herrera,Match Report,,,,,0.06,0.33,1.0,0.0,0.0,18.0,3.0,16.7,,,,2023,Talleres
3,2023-02-19,21:30,Primera Div,Matchweek 4,Sun,Home,W,2.0,0.0,CC Córdoba,,,56.0,,Guido Herrera,4-2-3-1,Luis Lobo Medina,Match Report,,,,,0.1,0.33,2.0,0.0,0.0,20.0,6.0,30.0,,,,2023,Talleres
4,2023-02-25,19:15,Primera Div,Matchweek 5,Sat,Away,W,4.0,2.0,Platense,,,49.0,,Guido Herrera,4-2-3-1,Hernán Mastrángelo,Match Report,,,,,0.36,0.57,4.0,0.0,0.0,11.0,7.0,63.6,,,,2023,Talleres
5,2023-03-05,21:30,Primera Div,Matchweek 6,Sun,Home,L,1.0,2.0,Vélez Sarsf,,,43.0,,Guido Herrera,4-2-3-1,Andrés Merlos,Match Report,,,,,0.14,0.5,1.0,0.0,0.0,7.0,2.0,28.6,,,,2023,Talleres
6,2023-03-11,19:15,Primera Div,Matchweek 7,Sat,Away,D,1.0,1.0,Defensa y Just,,,40.0,,Guido Herrera,4-2-3-1,Fernando Rapallini,Match Report,,,,,0.11,0.5,1.0,0.0,0.0,9.0,2.0,22.2,,,,2023,Talleres
7,2023-03-19,21:30,Primera Div,Matchweek 8,Sun,Home,L,0.0,1.0,Banfield,,,63.0,,Guido Herrera,4-2-3-1,Darío Herrera,Match Report,,,,,0.0,0.0,0.0,0.0,0.0,18.0,7.0,38.9,,,,2023,Talleres
8,2023-04-02,16:30,Primera Div,Matchweek 9,Sun,Away,W,3.0,0.0,Instituto Atlético Central Córdoba,,,42.0,,Guido Herrera,4-2-3-1,Facundo Tello,Match Report,,,,,0.38,0.75,3.0,0.0,0.0,8.0,4.0,50.0,,,,2023,Talleres
9,2023-04-07,21:30,Primera Div,Matchweek 10,Fri,Home,W,3.0,0.0,Barracas Central,,,47.0,,Guido Herrera,4-2-3-1,Pablo Dóvalo,Match Report,,,,,0.25,0.6,3.0,0.0,0.0,12.0,5.0,41.7,,,,2023,Talleres
10,2023-04-13,16:30,Primera Div,Matchweek 11,Thu,Away,D,2.0,2.0,Colón,,,63.0,,Guido Herrera,4-2-3-1,Sebastián Martinez,Match Report,,,,,0.15,0.33,2.0,0.0,0.0,13.0,6.0,46.2,,,,2023,Talleres
11,2023-04-16,21:30,Primera Div,Matchweek 12,Sun,Home,D,0.0,0.0,San Lorenzo,,,53.0,,Guido Herrera,4-2-3-1,Fernando Rapallini,Match Report,,,,,0.0,0.0,0.0,0.0,1.0,18.0,4.0,22.2,,,,2023,Talleres
12,2023-04-23,18:00,Primera Div,Matchweek 13,Sun,Away,L,0.0,1.0,Estudiantes,,,55.0,,Guido Herrera,4-2-3-1,Leandro Rey Hilfer,Match Report,,,,,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,,,,2023,Talleres
13,2023-04-30,20:30,Primera Div,Matchweek 14,Sun,Home,W,3.0,1.0,Rosario Cent,,,43.0,,Guido Herrera,4-2-3-1,Yael Falcón,Match Report,,,,,0.17,0.43,3.0,0.0,0.0,18.0,7.0,38.9,,,,2023,Talleres
