,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,dist,fk,g-xg,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,np:g-xg,npxg,npxg/sh,year,team
33,2024-03-10,,La Liga,Matchweek 28,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
34,2024-03-17,,La Liga,Matchweek 29,Sun,Away,,,,Osasuna,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
35,2024-03-31,,La Liga,Matchweek 30,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
36,2024-04-14,,La Liga,Matchweek 31,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
37,2024-04-21,,La Liga,Matchweek 32,Sun,Home,,,,Barcelona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
38,2024-04-28,,La Liga,Matchweek 33,Sun,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
39,2024-05-05,,La Liga,Matchweek 34,Sun,Home,,,,Cádiz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
40,2024-05-12,,La Liga,Matchweek 35,Sun,Away,,,,Granada,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
41,2024-05-15,,La Liga,Matchweek 36,Wed,Home,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
42,2024-05-19,,La Liga,Matchweek 37,Sun,Away,,,,Villarreal,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
43,2024-05-26,,La Liga,Matchweek 38,Sun,Home,,,,Betis,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Real Madrid
0,2023-08-12,17:00,La Liga,Matchweek 1,Sat,Away,D,1.0,1.0,Real Sociedad,0.8,1.0,52.0,30848.0,Cristhian Stuani,4-1-4-1,Francisco Hernández,Match Report,,12.2,0.0,0.2,0.17,1.0,1.0,0.0,0.0,6.0,1.0,16.7,0.2,0.8,0.13,2023,Girona
1,2023-08-20,19:00,La Liga,Matchweek 2,Sun,Home,W,3.0,0.0,Getafe,1.4,0.7,63.0,11784.0,Cristhian Stuani,4-1-4-1,Jorge Figueroa,Match Report,,16.1,1.0,1.6,0.43,0.5,3.0,0.0,0.0,7.0,6.0,85.7,1.6,1.4,0.2,2023,Girona
2,2023-08-26,21:30,La Liga,Matchweek 3,Sat,Away,W,2.0,1.0,Sevilla,1.7,1.7,48.0,29304.0,Cristhian Stuani,4-1-4-1,Jesús Gil,Match Report,,17.6,0.0,0.3,0.25,0.67,2.0,0.0,0.0,8.0,3.0,37.5,0.3,1.7,0.23,2023,Girona
3,2023-09-03,14:00,La Liga,Matchweek 4,Sun,Home,W,1.0,0.0,Las Palmas,1.0,1.1,46.0,11619.0,Cristhian Stuani,4-1-4-1,Mateo Busquets,Match Report,,16.2,0.0,0.0,0.09,0.17,1.0,0.0,0.0,11.0,6.0,54.5,0.0,1.0,0.09,2023,Girona
4,2023-09-18,21:00,La Liga,Matchweek 5,Mon,Away,,,,Granada,,,,,,,,Head-to-Head,,15.8,1.0,2.1,0.22,0.44,7.0,0.0,0.0,32.0,16.0,50.0,2.1,4.9,0.16,2023,Girona
5,2023-09-24,,La Liga,Matchweek 6,Sun,Home,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
6,2023-09-27,,La Liga,Matchweek 7,Wed,Away,,,,Villarreal,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
7,2023-10-01,,La Liga,Matchweek 8,Sun,Home,,,,Real Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
8,2023-10-08,,La Liga,Matchweek 9,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
9,2023-10-22,,La Liga,Matchweek 10,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
10,2023-10-29,,La Liga,Matchweek 11,Sun,Home,,,,Celta Vigo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
11,2023-11-05,,La Liga,Matchweek 12,Sun,Away,,,,Osasuna,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
12,2023-11-12,,La Liga,Matchweek 13,Sun,Away,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
13,2023-11-26,,La Liga,Matchweek 14,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
14,2023-12-03,,La Liga,Matchweek 15,Sun,Home,,,,Valencia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
15,2023-12-10,,La Liga,Matchweek 16,Sun,Away,,,,Barcelona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
16,2023-12-17,,La Liga,Matchweek 17,Sun,Home,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
17,2023-12-20,,La Liga,Matchweek 18,Wed,Away,,,,Betis,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
18,2024-01-03,,La Liga,Matchweek 19,Wed,Home,,,,Atlético Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
19,2024-01-14,,La Liga,Matchweek 20,Sun,Away,,,,Almería,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
20,2024-01-21,,La Liga,Matchweek 21,Sun,Home,,,,Sevilla,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
21,2024-01-28,,La Liga,Matchweek 22,Sun,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
22,2024-02-04,,La Liga,Matchweek 23,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
23,2024-02-11,,La Liga,Matchweek 24,Sun,Away,,,,Real Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
24,2024-02-18,,La Liga,Matchweek 25,Sun,Away,,,,Athletic Club,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
25,2024-02-25,,La Liga,Matchweek 26,Sun,Home,,,,Rayo Vallecano,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
26,2024-03-03,,La Liga,Matchweek 27,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
27,2024-03-10,,La Liga,Matchweek 28,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
28,2024-03-17,,La Liga,Matchweek 29,Sun,Away,,,,Getafe,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
29,2024-03-31,,La Liga,Matchweek 30,Sun,Home,,,,Betis,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
30,2024-04-14,,La Liga,Matchweek 31,Sun,Away,,,,Atlético Madrid,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
31,2024-04-21,,La Liga,Matchweek 32,Sun,Home,,,,Cádiz,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
32,2024-04-28,,La Liga,Matchweek 33,Sun,Away,,,,Las Palmas,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
33,2024-05-05,,La Liga,Matchweek 34,Sun,Home,,,,Barcelona,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
34,2024-05-12,,La Liga,Matchweek 35,Sun,Away,,,,Alavés,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
35,2024-05-15,,La Liga,Matchweek 36,Wed,Home,,,,Villarreal,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
36,2024-05-19,,La Liga,Matchweek 37,Sun,Away,,,,Valencia,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
37,2024-05-26,,La Liga,Matchweek 38,Sun,Home,,,,Granada,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,2023,Girona
0,2023-08-13,21:30,La Liga,Matchweek 1,Sun,Away,D,0.0,0.0,Getafe,1.4,0.6,74.0,13410.0,Marc-André ter Stegen,4-2-3-1,César Soto,Match Report,,19.9,1.0,-1.4,0.0,0.0,0.0,0.0,0.0,14.0,3.0,21.4,-1.4,1.4,0.11,2023,Barcelona
1,2023-08-20,19:30,La Liga,Matchweek 2,Sun,Home,W,2.0,0.0,Cádiz,3.4,1.1,74.0,39603.0,Marc-André ter Stegen,3-4-3,Alejandro Muñíz,Match Report,,15.5,2.0,-1.4,0.08,0.2,2.0,0.0,0.0,24.0,10.0,41.7,-1.4,3.4,0.15,2023,Barcelona
