,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,dist,g/sh,g/sot,gls,pk,pkatt,sh,sot,sot%,year,team
36,2023-11-10,,Série B,Matchweek 37,Fri,Away,,,,Londrina,,,,,,Head-to-Head,,,,,,,,,,,2023,Gremio Novorizontino
37,2023-11-25,,Série B,Matchweek 38,Sat,Home,,,,Criciúma,,,,,,Head-to-Head,,,,,,,,,,,2023,Gremio Novorizontino
0,2023-04-16,11:00,Série B,Matchweek 1,Sun,Home,W,2.0,0.0,Tombense Futebol Clube,36.0,13871.0,Rodrigo Fagundes,4-2-2-2,Denis da Silva Ribeiro Serafim,Match Report,,,0.14,0.33,2.0,0.0,0.0,14.0,6.0,42.9,2023,Criciuma
1,2023-04-21,21:30,Série B,Matchweek 2,Fri,Away,W,2.0,1.0,Ponte Preta,45.0,,Rodrigo Fagundes,4-2-2-2,Leandro Pedro Vuaden,Match Report,,,0.2,0.4,2.0,0.0,0.0,10.0,5.0,50.0,2023,Criciuma
2,2023-04-28,19:00,Série B,Matchweek 3,Fri,Home,W,1.0,0.0,Avaí,55.0,15747.0,Rodrigo Fagundes,4-4-2,Wagner do Nascimento Magalhães,Match Report,,,0.08,0.33,1.0,0.0,0.0,12.0,3.0,25.0,2023,Criciuma
3,2023-05-01,16:00,Série B,Matchweek 4,Mon,Away,D,1.0,1.0,Londrina,53.0,1402.0,Rodrigo Fagundes,4-2-2-2,Matheus Delgado Candançan,Match Report,,,0.06,0.33,1.0,0.0,0.0,18.0,3.0,16.7,2023,Criciuma
4,2023-05-06,16:00,Série B,Matchweek 5,Sat,Home,W,2.0,1.0,Ituano,52.0,15062.0,Rodrigo Fagundes,4-4-2,Leandro Pedro Vuaden,Match Report,,,0.14,0.33,2.0,0.0,0.0,14.0,6.0,42.9,2023,Criciuma
5,2023-05-12,19:00,Série B,Matchweek 6,Fri,Away,D,0.0,0.0,Vila Nova,44.0,9081.0,Rodrigo Fagundes,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,2023,Criciuma
6,2023-05-21,15:30,Série B,Matchweek 7,Sun,Home,L,1.0,2.0,Ceará,60.0,16073.0,Gustavo,4-4-2,Wilton Sampaio,Match Report,,,0.0,0.0,1.0,1.0,1.0,22.0,9.0,40.9,2023,Criciuma
7,2023-05-24,21:30,Série B,Matchweek 8,Wed,Home,W,1.0,0.0,Sport Recife,45.0,13709.0,Rodrigo Fagundes,4-2-3-1,João Vitor Gobi,Match Report,,,0.05,0.2,1.0,0.0,0.0,19.0,5.0,26.3,2023,Criciuma
8,2023-05-28,15:30,Série B,Matchweek 9,Sun,Away,L,0.0,1.0,Mirassol Futebol Clube,51.0,1695.0,Rodrigo Fagundes,4-2-2-2,Felipe Fernandes de Lima,Match Report,,,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,2023,Criciuma
9,2023-06-02,21:30,Série B,Matchweek 10,Fri,Home,W,3.0,0.0,Atl Goianiense,45.0,14243.0,Rodrigo Fagundes,4-4-2,Rafael Rodrigo Klein,Match Report,,,0.12,0.22,3.0,1.0,1.0,17.0,9.0,52.9,2023,Criciuma
10,2023-06-08,16:00,Série B,Matchweek 11,Thu,Home,L,0.0,1.0,Juventude,52.0,18223.0,Rodrigo Fagundes,4-4-2,Maguielson Lima Barbosa,Match Report,,,0.0,0.0,0.0,0.0,0.0,17.0,3.0,17.6,2023,Criciuma
11,2023-06-11,18:00,Série B,Matchweek 12,Sun,Away,W,1.0,0.0,Vitória,39.0,27541.0,Rodrigo Fagundes,4-3-3,Flavio Rodrigues de Souza,Match Report,,,0.14,0.5,1.0,0.0,0.0,7.0,2.0,28.6,2023,Criciuma
12,2023-06-24,17:00,Série B,Matchweek 13,Sat,Away,D,1.0,1.0,Chapecoense,57.0,6170.0,Rodrigo Fagundes,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,,,0.07,0.25,1.0,0.0,0.0,15.0,4.0,26.7,2023,Criciuma
13,2023-06-27,19:00,Série B,Matchweek 14,Tue,Home,W,2.0,1.0,CRB,39.0,12687.0,Rodrigo Fagundes,4-3-3,Marcelo de Lima Henrique,Match Report,,,0.17,0.25,2.0,0.0,0.0,12.0,8.0,66.7,2023,Criciuma
14,2023-07-01,17:00,Série B,Matchweek 15,Sat,Away,W,2.0,0.0,Sampaio Corrêa,46.0,2248.0,Rodrigo Fagundes,4-3-3,Paulo Henrique de Melo Salmazio,Match Report,,,0.18,0.5,2.0,0.0,0.0,11.0,4.0,36.4,2023,Criciuma
15,2023-07-08,14:30,Série B,Matchweek 16,Sat,Away,W,1.0,0.0,ABC,36.0,,Rodrigo Fagundes,4-3-3,Ivan da Silva Guimarães Jr.,Match Report,,,0.0,0.0,1.0,1.0,1.0,4.0,2.0,50.0,2023,Criciuma
16,2023-07-13,20:00,Série B,Matchweek 17,Thu,Home,D,1.0,1.0,Guarani,63.0,,Rodrigo Fagundes,4-3-3,Denis da Silva Ribeiro Serafim,Match Report,,,0.05,0.14,1.0,0.0,0.0,21.0,7.0,33.3,2023,Criciuma
17,2023-07-17,20:00,Série B,Matchweek 18,Mon,Away,L,0.0,1.0,Botafogo (SP),58.0,4384.0,Rodrigo Fagundes,4-3-3,Lucas Paulo Torezin,Match Report,,,0.0,0.0,0.0,0.0,0.0,9.0,1.0,11.1,2023,Criciuma
18,2023-07-22,17:00,Série B,Matchweek 19,Sat,Home,L,0.0,1.0,Grêmio Novorizontino,58.0,14451.0,Rodrigo Fagundes,4-3-3,Diego Pombo Lopez,Match Report,,,0.0,0.0,0.0,0.0,0.0,15.0,4.0,26.7,2023,Criciuma
19,2023-07-30,11:00,Série B,Matchweek 20,Sun,Away,D,2.0,2.0,Tombense Futebol Clube,37.0,,Gustavo,4-3-3,Savio Pereira,Match Report,,,0.15,1.0,2.0,0.0,0.0,13.0,2.0,15.4,2023,Criciuma
20,2023-08-02,19:00,Série B,Matchweek 21,Wed,Home,W,2.0,1.0,Ponte Preta,61.0,,Rodrigo Fagundes,4-3-3,Marcelo de Lima Henrique,Match Report,,,0.11,0.5,2.0,0.0,0.0,19.0,4.0,21.1,2023,Criciuma
